primaryTitle,primaryName
Bowling for Columbine,Jim Czarnecki
Bowling for Columbine,Michael Donovan
Bowling for Columbine,Kathleen Glynn
Bowling for Columbine,Jeff Gibbs
Nuvvu Naaku Nachchav,A. Sreekar Prasad
Nuvvu Naaku Nachchav,Venkatesh Daggubati
Nuvvu Naaku Nachchav,Aarti Agarwal
Nuvvu Naaku Nachchav,Suhasini
Nuvvu Naaku Nachchav,Ananth
Nuvvu Naaku Nachchav,Vijay K. Bhaskar
Nuvvu Naaku Nachchav,Trivikram Srinivas
Nuvvu Naaku Nachchav,Ravi Kishore
Nuvvu Naaku Nachchav,Koti
Nuvvu Naaku Nachchav,Ravindra Babu
Kannathil Muthamittal,Ravi K. Chandran
Kannathil Muthamittal,Madhavan
Kannathil Muthamittal,Simran
Kannathil Muthamittal,Keerthana Parthiepan
Kannathil Muthamittal,Nandita Das
Kannathil Muthamittal,Mani Ratnam
Kannathil Muthamittal,Sujatha Rangarajan
Kannathil Muthamittal,Sujatha
Kannathil Muthamittal,G. Srinivasan
Kannathil Muthamittal,A.R. Rahman
Philanthropy,Thierry Derocles
Philanthropy,Mircea Diaconu
Philanthropy,Gheorghe Dinica
Philanthropy,Mara Nicolescu
Philanthropy,Viorica Voda
Philanthropy,Nae Caranfil
Philanthropy,Antoine de Clermont-Tonnerre
Philanthropy,Martine de Clermont-Tonnerre
Philanthropy,Marius Mihalache
Philanthropy,Vivi Dragan Vasile
City of God,Mauricio Andrade Ramos
City of God,Alexandre Rodrigues
City of God,Leandro Firmino
City of God,Matheus Nachtergaele
City of God,Phellipe Haagensen
City of God,Fernando Meirelles
City of God,Kátia Lund
City of God,Paulo Lins
City of God,Bráulio Mantovani
City of God,Andrea Barata Ribeiro
The Incredibles,Janet Lucroy
The Incredibles,Craig T. Nelson
The Incredibles,Samuel L. Jackson
The Incredibles,Holly Hunter
The Incredibles,Jason Lee
The Incredibles,Brad Bird
The Incredibles,John Walker
The Incredibles,Michael Giacchino
The Incredibles,Andrew Jimenez
The Incredibles,Patrick Lin
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Peter Donahue
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Robert McNamara
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,John F. Kennedy
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Fidel Castro
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Richard Nixon
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Errol Morris
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Julie Ahlberg
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Michael Williams
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Philip Glass
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Robert Chappell
Big Fish,Richard D. Zanuck
Big Fish,Ewan McGregor
Big Fish,Albert Finney
Big Fish,Billy Crudup
Big Fish,Jessica Lange
Big Fish,Tim Burton
Big Fish,Daniel Wallace
Big Fish,John August
Big Fish,Bruce Cohen
Big Fish,Dan Jinks
The Legend of Bhagat Singh,Ramesh Sadhuram Taurani
The Legend of Bhagat Singh,Ajay Devgn
The Legend of Bhagat Singh,Sushant Singh
The Legend of Bhagat Singh,D. Santosh
The Legend of Bhagat Singh,Akhilendra Mishra
The Legend of Bhagat Singh,Rajkumar Santoshi
The Legend of Bhagat Singh,Ranjit Kapoor
The Legend of Bhagat Singh,Piyush Mishra
The Legend of Bhagat Singh,Anjum Rajabali
The Legend of Bhagat Singh,Kumar Sadhuram Taurani
The Clay Bird,Sylvain Nahmias
The Clay Bird,Nurul Islam Bablu
The Clay Bird,Russell Farazi
The Clay Bird,Jayanto Chattopadhyay
The Clay Bird,Rokeya Prachy
The Clay Bird,Tareque Masud
The Clay Bird,Catherine Masud
The Clay Bird,Marin Karmitz
The Clay Bird,Moushumi Bhowmik
The Clay Bird,Sudhir Palsane
Oasis,Yeong-taek Choi
Oasis,Kyung-gu Sol
Oasis,So-Ri Moon
Oasis,Nae-sang Ahn
Oasis,Seung-wan Ryoo
Oasis,Chang-dong Lee
Oasis,Min-cheul Cho
Oasis,Jeon Jay
Oasis,Gye-nam Myeong
Oasis,Jaejin Lee
Pirates of the Caribbean: The Curse of the Black Pearl,Jerry Bruckheimer
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp
Pirates of the Caribbean: The Curse of the Black Pearl,Geoffrey Rush
Pirates of the Caribbean: The Curse of the Black Pearl,Orlando Bloom
Pirates of the Caribbean: The Curse of the Black Pearl,Keira Knightley
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski
Pirates of the Caribbean: The Curse of the Black Pearl,Ted Elliott
Pirates of the Caribbean: The Curse of the Black Pearl,Terry Rossio
Pirates of the Caribbean: The Curse of the Black Pearl,Stuart Beattie
Pirates of the Caribbean: The Curse of the Black Pearl,Jay Wolpert
Mystic River,Tom Stern
Mystic River,Sean Penn
Mystic River,Tim Robbins
Mystic River,Kevin Bacon
Mystic River,Emmy Rossum
Mystic River,Clint Eastwood
Mystic River,Brian Helgeland
Mystic River,Dennis Lehane
Mystic River,Judie Hoyt
Mystic River,Robert Lorenz
Mr. and Mrs. Iyer,Rabiranjan Maitra
Mr. and Mrs. Iyer,Rahul Bose
Mr. and Mrs. Iyer,Konkona Sen Sharma
Mr. and Mrs. Iyer,Bhisham Sahni
Mr. and Mrs. Iyer,Surekha Sikri
Mr. and Mrs. Iyer,Aparna Sen
Mr. and Mrs. Iyer,Dulal Dey
